expression,accords,reasoning,latency_sec,error
깔끔한 스타일,fresh|aromatic|soapy,"“깔끔한 스타일”은 전반적으로 상쾌하고 깨끗한 인상을 주는 표현이라 fresh와 aromatic, 이와 유사하게 소프 느낌의 soapy로 가장 가깝다고 판단했습니다.",1.087,
가격 15만원 안팎,,표현이 가격(15만원)만 언급해 향의 성격을 나타내지 않습니다.,0.853,
"‘행운을 주는 편지’, ‘7년의 행운/3년의 불행’, ‘7통을 보내기’, ‘4일 내로 떠나야 함’ 같은 미신적 분위기 연상",,"주어진 표현은 미신/행운 같은 상징적 분위기를 말하며, 향의 구체적 소재나 향취(예: 꽃, 과일, 향신료 등)를 직접적으로 지칭하지 않아 accord로 매칭할 수 없습니다.",1.041,
힘들겠지만 좋은 게 좋다고 생각하는 정서 연상,,‘힘들겠지만 좋은 게 좋다’는 정서/태도 표현이라 구체적인 향(냄새 성분·소재) 특성을 나타내지 않습니다.,0.879,
현재 사용 중인 향수와 비슷한 향의 다른 향수,,"표현이 특정 향의 원료/무드(예: 장미, 바닐라, 시트러스 등)를 지시하지 않고 '비슷한 향'이라는 의미만 있어 향 표현으로 분류할 수 없습니다.",1.212,
포근한 느낌,amber|sweet|gourmand,포근함은 보통 따뜻하고 달콤한 앰버/가우리망드 계열의 느낌으로 해석되는 경우가 많습니다.,1.432,
딱 맡았을 때 '와 진짜 어른 여자' 같은 느낌,amber|rose,"‘어른 여자’의 성숙하고 따뜻한 무드가 앰버 톤의 고급스러운 느낌과 가장 가깝고, 장미의 성인 플로럴 뉘앙스가 함께 떠올라서입니다.",1.172,
직장에서 매일 사용,,"특정 향의 원료/노트(예: 우디, 스파이시, 프레시 등) 없이 '직장에서 매일 사용'은 사용 맥락으로 향 표현이 아닙니다.",1.064,
신중하게 결정해서 변경하지 않음,,주어진 표현은 향의 구체적 뉘앙스가 아니라 ‘신중하게 결정해서 변경하지 않음’이라는 행동/태도 설명이라 향 관련 accord로 매칭할 수 없습니다.,0.979,
취향은 딱히 없고 무난하면 됨,fresh,특별한 향의 단서 없이 '무난함'을 가장 일반적인 청량/데일리 계열인 'fresh'로 해석할 수 있습니다.,1.018,
클로에 EDP와 비슷한 향을 원함,,‘클로에 EDP’는 브랜드/제품명으로 향의 특정 accord를 지칭하는 표현이 아니라서 목록의 향 항목으로 매칭할 수 없습니다.,1.231,
꽃향은 선호,floral,“꽃향은 선호”는 꽃의 느낌을 직접적으로 나타내므로 가장 가까운 accord인 floral에 해당합니다.,0.927,
light scent,fresh,“light scent”는 강한 단정보다는 가볍고 산뜻한 느낌을 주는 표현이라 가장 가까운 accord로 ‘fresh’를 선택했습니다.,1.035,
slightly soap-like scent,soapy|soapy,‘비누 같은(slightly soap-like)’ 뉘앙스로 soapy 계열이 가장 직접적으로 일치합니다.,0.867,
feminine feel,,"표현이 ‘feminine feel’로 성별/인상에 대한 말이라 향의 구체적인 향 표현(예: floral, rose 등)이 아니어서 목록에서 대응 accord를 고를 수 없습니다.",1.101,
price under 50000 won,,가격 정보는 향의 성격을 나타내지 않습니다.,0.869,
바람이 부는 듯한 느낌,fresh,‘바람이 부는 듯한 느낌’은 시원하고 가벼운 공기감의 인상이라 fresh 계열이 가장 가깝습니다.,1.358,
푸른색의 느낌,,‘푸른색의 느낌’은 향의 구체적 특성(예: 시트러스/아쿠아틱/우디 등)이 없어 목록의 특정 accord로 매칭하기 어렵습니다.,1.004,
자유로운 향,,"“자유로운 향”은 구체적인 향의 성격(예: 과일, 꽃, 우디, 달콤함 등)이 없어 accord로 매칭할 수 없습니다.",1.303,
피코디아말피는 여름 느낌인데 겨울 느낌 나는 향,fresh|woody,‘여름 느낌’과 ‘겨울 느낌’이 대비되는 표현이라 계절감의 핵심인 신선함(fresh)과 따뜻한 마무리로 느껴지는 우디(woody) 쪽이 가장 가깝습니다.,0.975,
좋아하는 향수: 바카라루쥬,,"‘바카라루쥬’는 구체적인 향 표현(예: 장미, 바닐라, 시트러스 등) 정보가 없어 향 accord를 매칭할 수 없습니다.",1.061,
좋아하는 향수: 어벤투스,fresh|aromatic|citrus,"‘어벤투스’는 일반적으로 상큼한 시트러스-아로마틱 계열로 알려져 있어 fresh, aromatic, citrus 순으로 가장 가깝습니다.",1.097,
좋아하는 향수: 포비앤바알리,,"표현이 특정 향(예: 장미, 바닐라, 우디 등) 묘사 없이 ‘좋아하는 향수’와 브랜드/상품명(포비앤바알리)만 있어 향의 아코드를 판단할 수 없습니다.",1.063,
좋아하는 향이 무엇인지 정리 및 추천 요청,,표현은 ‘좋아하는 향이 무엇인지 정리 및 추천 요청’처럼 향의 구성이나 특정 향 노트가 아닌 요청 문장이라 accord로 매칭할 수 없습니다.,0.908,
layering,,표현 'layering'은 향의 특정 노트(향조/질감)를 묘사하지 않고 향을 레이어링하는 행위를 뜻해 accord로 매칭할 수 없습니다.,1.307,
light,fresh|fresh spicy,표현이 단순히 'light'로만 제시되어 향을 특정할 수 없어 목록에서 확신 가능한 항목을 고르기 어렵습니다.,1.225,
fresh,fresh,표현이 그대로 ‘fresh’로 향의 신선함 계열과 정확히 일치합니다.,0.919,
랄프로렌 스타일과 어울리는 향수,,"특정 향의 관능(예: 시트러스, 우디, 플로럴 등)이 아니라 ‘랄프로렌 스타일’이라는 브랜드/스타일 표현이라 향과 무관합니다.",1.184,
budget 20만원 이하,,‘budget 20만원 이하’는 가격 조건이라 향의 노트(제형/향 계열)를 나타내지 않습니다.,0.908,
여름에 뿌릴만한,fresh|citrus|aquatic,"‘여름에 뿌릴만한’은 보통 시원하고 가벼운 여름 느낌을 뜻해 Fresh 계열이 가장 가깝고, 이어서 여름 대표 아코드인 Citrus와 Aquatic을 함께 고려했습니다.",1.034,
주로 사용했던 향수: 베르사체 딜런퍼플,,"주어진 표현은 특정 향수 이름(브랜드/제품)일 뿐, 장식된 향의 특정 아코드(예: 과일/바닐라/우디 등)를 직접 지칭하지 않아 향과 무관합니다.",1.19,
주로 사용했던 향수: 아쿠아 디 파르마,aquatic|fresh|citrus,“아쿠아 디 파르마”는 전형적으로 아쿠아틱하고 상쾌한(프레시) 시트러스 계열 이미지를 연상시키는 향으로 가장 가깝습니다.,1.063,
주로 사용했던 향수: 르라보 모하비 고스트,woody|smoky|aromatic,‘모하비 고스트’는 전형적으로 우디(woody) 베이스에 스모키(smoky)한 가죽/나무 계열 뉘앙스와 아로마틱(aromatic)한 향기 느낌이 강해 가장 가깝다고 판단했습니다.,1.121,
주로 사용했던 향수: 티파니 앤 코 러브 포 힘,,표현에 특정 향 성분(예: 장미/시트러스/머스크 등)이 없고 단순히 향수 이름만 있어 목록의 어느 accord에도 확정해 매칭하기 어렵습니다.,1.001,
주로 사용했던 향수: 딥디크 플레르드뽀,,'딥디크 플레르드뽀'는 특정 향 표현(노트/질감)으로 분해되지 않아 향이 아닌 정보를 추정해야 하므로 목록의 accord에 매칭할 수 없습니다.,0.998,
위 향수들과 비슷한 향의 향수 추천 요청,,"주어진 표현은 '비슷한 향의 향수 추천'처럼 일반적인 요청이라 특정 향 표현(예: 시트러스, 장미, 커피 등)이 없어 목록의 어느 accord에도 매칭하기 어렵습니다.",1.151,
최애캐를 이미지화한 향수,,"‘최애캐를 이미지화한 향수’는 향의 구체적인 성격(예: 과일, 플로럴, 우디 등)이 없어 향과 무관한 일반 표현입니다.",1.499,
20대 중반 남성,,해당 표현은 나이·성별 정보로 향의 특정 관능(향료/노트)과 무관합니다.,0.957,
교육 수강하러 다니는 상황,,해당 표현은 향의 특징(노트/질감/재질)을 묘사하지 않고 일상 상황(교육 수강)을 말해 향과 무관합니다.,0.945,
동료들이 느끼기에 깔끔한 이미지,,"‘깔끔한 이미지’는 구체적인 향의 성질(예: 시트러스, 파우더리 등)로 매칭되지 않아 향 표현으로 확정할 수 없습니다.",1.139,
너무 강하지 않고 은은한 향,fresh|aromatic|soft spicy,"‘은은한 향’의 전반적인 인상은 강하지 않은 상쾌/향긋함 쪽으로 먼저, 그 다음으로 완만한 스파이시(soft spicy) 뉘앙스를 추가했습니다.",1.672,
상대방에게 불쾌감을 주지 않기,,표현이 향의 시각/후각적 소재를 묘사하지 않고 ‘불쾌감을 주지 않기’는 성향·의도에 대한 말이라 향 accord로 매칭할 수 없습니다.,0.954,
다양한 향과 가격대로 3가지 추천,,표현은 향의 구체적인 노트가 아니라 ‘추천/가격대’에 대한 요청이라 향과 무관합니다.,1.404,
향수를 뿌려본 경험 없음(이해하기 쉽게 설명 필요),,향 표현이 아니라 향수 경험/이해 요청에 대한 문장이어서 향의 특정 노트를 추출할 수 없습니다.,1.282,
"향수1, 향수2, 향수3과 비슷한 느낌의 향수 추천 요청",,표현이 향의 특정 단일 노트를 지칭하지 않고 '추천 요청'이라는 메타 문구라서 accord로 매칭할 근거가 없습니다.,2.547,
계절감 고려,,표현이 ‘계절감 고려’처럼 향의 특정한 냄새(예: 꽃/과일/머스크 등)를 지칭하지 않아 accord로 매칭할 수 없습니다.,1.032,
20살 남성,,‘20살 남성’은 나이·성별 표현으로 향의 성격(노트/무드)을 나타내지 않아 향과 무관합니다.,1.211,
땀이 많은 편,,“땀이 많은 편”은 체취/인체 감각을 말하는 표현으로 향(원료/노트의 분위기) 자체를 특정하기 어려워 목록의 accord에 매칭할 수 없습니다.,1.434,
땀이 나고 향수 냄새까지 나면 불쾌한 냄새가 날 수 있어서 잘 알아보고 사려함,,"주어진 표현은 ‘불쾌한 냄새/향수 냄새’에 대한 구매 판단이지 특정 향(예: 시트러스, 머스크 등)을 지칭하지 않아서 목록의 accord로 매칭할 수 없습니다.",1.326,
"가능한 모든 웹페이지를 찾아보고 후기, 특성을 잘 알아보기",,제공된 표현은 향의 성상(노트)이나 냄새 특징이 아니라 웹페이지 검색/후기 요청이어서 향 표현에 해당하지 않습니다.,0.877,
3만원에서 10만원 사이 가격대,,표현이 가격(3만원~10만원) 정보라 향의 노트/무드와 무관합니다.,0.878,
데이트할 때 상대방에게 거부감 없고 부담스럽지 않게 일상적으로 뿌릴 수 있는 향,fresh|aromatic|citrus,"일상적으로 부담 없이 데일리로 뿌리는 이미지라서 산뜻하고( fresh ) 흔히 가볍게 느껴지는 아로마틱 계열( aromatic ), 그리고 거부감 적은 상큼함( citrus )에 가장 가깝습니다.",1.237,
서점과 어울리는 차분하면서 안정되는 향,aromatic|fresh,“서점과 어울리는 차분하면서 안정되는” 뉘앙스는 담백한 분위기의 방향(아로마틱/fresh) 쪽으로 가장 가깝습니다.,1.149,
너무 여성스러운 이미지보다는 중성적이거나 남성적인 쪽에 가까운 향,,"주어진 표현은 성별/이미지 성격(중성적·남성적)에 대한 서술이라 특정 향 계열(예: woody, leather, aromatic 등)로 매칭할 근거가 없어 향과 무관한 표현입니다.",1.022,
너무 인위적이지 않은 코튼향,fresh|soapy|powdery,"‘코튼향’은 인위적이지 않은 깨끗한 세탁/섬유 느낌이라서 상쾌함(fresh)과 비누/세정감(soapy), 보송한 파우더리 느낌(powdery)이 가장 가깝습니다.",1.182,
Moschino Toy 2 EDP와 가장 비슷한 향,,"표현이 특정 향의 '비슷함'을 요구하지만, 제공된 문구만으로는 송치노 Toy 2 EDP의 개별 향 성격(예: 달콤함/꽃/시트러스 등)을 특정할 수 없어 향과 무관하거나 불확실합니다.",1.742,
더 저렴한 브랜드,,해당 표현은 가격/브랜드 관련으로 향의 특성이 아니라서 accord로 매칭할 수 없습니다.,0.873,
여름 장마철,aquatic|earthy|mossy,"여름 장마철의 축축하고 비에 젖은 느낌은 ‘aquatic’에 가깝고, 눅진한 흙냄새와 이끼/습기감까지 동반될 수 있어 ‘earthy’, ‘mossy’를 함께 선택했다.",1.113,
상쾌한 향기,fresh,“상쾌한 향기”는 향의 분위기가 청량하고 신선하다는 의미라서 가장 가까운 accord는 fresh입니다.,0.868,
가을에 맞는 코튼 향,fresh|citrus|woody,"‘코튼 향’은 보통 깨끗하고 가벼운 섬유/세탁감의 느낌이라 fresh 계열을 1순위로 보고, 가을에 어울리는 상쾌함과 약한 잔향 이미지로 citrus와 woody를 함께 선택했습니다.",1.268,
남성이 사용해도 괜찮을 것 같은 코튼 향수,fresh|aromatic,‘코튼 향수’는 특정 향 계열이라기보다 깨끗하고 섬유에서 나는 듯한 상쾌한 느낌이라 fresh와 aromatic 중에 해당됩니다.,0.911,
27세,,표현이 나이(27세)로 향의 성격/노트가 아니어서 accord로 매칭할 수 없습니다.,1.153,
한국인 남성,,'한국인 남성'은 성별/인구 특징으로 향의 원재료나 관능 특성을 나타내지 않아 목록의 어떤 accord에도 해당하지 않습니다.,1.229,
키가 크고 체격이 큰 편이라 부드러운 인상이 아님,,표현은 성격/체형에 대한 인상(부드럽지 않음)으로 향의 구체적 이미지나 향료 특성을 담고 있지 않습니다.,0.902,
여름에 주로 사용,fresh|aquatic,“여름에 주로 사용”은 계절감에 따른 산뜻함/물기 있는 느낌을 주로 떠올리게 해서 fresh와 aquatic 쪽이 가장 가깝습니다.,1.002,
시원한 분위기가 좋음,fresh|aquatic|ozonic,"“시원한 분위기”는 상쾌하고 공기/기분이 맑게 느껴지는 뉘앙스라서 Fresh 쪽이 가장 가깝고, 이어서 Aquatic과 Ozonic 느낌으로 확장했습니다.",1.261,
리뷰들을 고려,,제공된 ‘리뷰들을 고려’는 구체적인 향 표현(냄새/노트/질감)이 없어 어떤 accord에도 매칭할 수 없습니다.,1.097,
대중적인 향수 3가지 추천,,"표현이 ‘대중적인 향수 추천’처럼 향의 이미지(노트/무드)를 묘사하지 않고, 향과 무관한 주문문이라 목록의 특정 accord로 매칭할 수 없습니다.",1.087,
데일리로 사용하기 좋음,fresh,“데일리로 사용하기 좋음”은 특정 향의 재료를 지칭하지 않지만 일상용으로 가장 흔히 떠올리는 무드가 상쾌한 계열이라 ‘fresh’가 가장 가깝습니다.,1.039,
아침에 뿌리고 하루종일 유지되면 좋겠음,fresh|aromatic|woody,"‘아침에 뿌리고 하루종일 유지’는 전반적으로 가볍고 상쾌한 데일리 계열을 먼저 떠올리게 하며, 지속감을 기대하는 뉘앙스가 함께 오는 경우가 많아 fresh를 우선으로, 보통의 향 스타일로 aromatic/woody 계열이 근접합니다.",1.242,
계속 덧뿌리는 게 귀찮음,,해당 표현은 향의 특성을 묘사하지 않고 '귀찮음' 같은 감정/상황을 말해서 향 표현으로 볼 수 없습니다.,1.087,
내 이미지와 내가 좋아하는 향이 매치가 안 될 때 원만하게 합의 보는 방법,,주어진 표현은 향의 구체적 냄새(예: 과일/우디/바닐라 등)가 아니라 ‘합의하는 방법’에 대한 문구라 향 표현으로 매칭할 수 없습니다.,1.43,
내 스타일과 어울리는 향수 추천 요청,,“내 스타일과 어울리는 향수 추천 요청”은 향의 구성/특성을 묘사하지 않은 문장이라 목록의 특정 향 표현으로 매칭할 수 없습니다.,1.0,
향수 초보자가 사용할 만한,,표현이 '향수 초보자가 사용할 만한'처럼 추천/대상에 관한 말이라 향의 구체적 노트(냄새 성격)를 알 수 없어 분류가 불가능합니다.,1.116,
너무 쎈 향은 싫어함,bitter,"“너무 쎈 향은 싫어함”은 향의 강한 자극을 직접 묘사하진 않지만, 강한 인상의 싫어함을 쓴맛(비터) 뉘앙스로 가장 가깝게 해석할 수 있습니다.",1.188,
Creed Aventus와 '비슷한 계열'의 향,amber|aromatic|fruity,“비슷한 계열”은 Aventus의 대표적인 과일-아로마틱(상큼한 베르가못/과일류)과 앰버 톤을 주로 가리키는 표현이라 그쪽 accord 3개가 가장 가깝습니다.,1.435,
가격이 상대적으로 저렴한 향수,,해당 표현은 가격(저렴함)만 말하고 있어 향의 성격을 나타내는 단서가 아닙니다.,1.29,
너무 진하지 않으면서,,"주어진 표현은 농도(진하지 않음)만 말하고 구체적인 향 노트(예: 플로럴, 시트러스, 파우더리 등)가 없어 향 무관 표현으로 판단됩니다.",1.039,
흔하지 않으면서,,표현 '흔하지 않으면서'는 향의 특정한 노트(냄새 성격)를 지칭하지 않아서 accord로 매칭할 수 없습니다.,1.338,
유니크한 향수,,"‘유니크한 향수’는 구체적인 향의 계열(예: 과일, 꽃, 우디 등)이 전혀 없어 향 표현과 매칭할 수 없습니다.",0.934,
시원한 느낌,fresh|aquatic|citrus,"‘시원한 느낌’은 보통 상쾌하고 가벼운 인상을 주는 fresh 계열과, 수분감/청량감을 연상시키는 aquatic 및 citrus 쪽과 가장 가깝습니다.",1.579,
너무 가볍지는 않은 느낌,fresh|aromatic|woody,"‘너무 가볍지는 않은’ 뉘앙스는 무게감 있는 일반적인 향의 성격이라, 과하지 않으면서도 안정적인 계열로 fresh(가벼움의 반대 방향), aromatic(중간 농도의 향 느낌), woody(묵직함/베이스의 존재) 쪽이 가장 가깝습니다.",1.483,
부드럽고 잔향이 좋은 향,soft spicy|sweet|floral,"‘부드럽고 잔향이 좋은’ 뉘앙스는 일반적으로 부드러운 스파이시 계열의 잔향감과 함께, 은은한 단맛/플로럴 톤으로 느껴질 가능성이 있어 가장 가깝게 3가지를 선택했습니다.",1.303,
여름에 어울리는 향수,fresh|citrus|aquatic,"“여름에 어울리는 향수”는 구체적 소재가 없지만 일반적으로 시원하고 상쾌한 여름 느낌이라 신선(fresh), 감귤류(citrus), 수분감(aquatic) 계열이 가장 가깝습니다.",1.711,
추천 3개,,향 표현(노트/특징) 자체가 비어 있어 accord를 매칭할 근거가 없습니다.,0.913,
나랑 가장 잘 어울리는 향수 추천 요청,,"해당 표현은 향의 구체적인 성질(예: 시트러스, 바닐라 등)이 아니라 ‘추천 요청’이라는 말이라 향 표현으로 분류할 수 없습니다.",1.273,
약간 나의 분위기와 맞는 향을 찾고 싶음,,"‘약간 나의 분위기와 맞는 향을 찾고 싶음’은 특정한 향의 성격(예: 과일, 꽃, 우디 등)이나 원료가 없어 향 표현으로 분류할 수 없습니다.",1.132,
묵직한 느낌의 향,amber|woody,‘묵직한 느낌’은 보통 무게감 있는 앰버/우디 계열의 포근하고 진한 인상을 연상시키므로 가장 가깝게 ‘amber’와 ‘woody’를 우선 선택했습니다.,1.256,
가볍게 느껴지는 향,fresh,‘가볍게 느껴지는 향’은 보통 무겁지 않고 산뜻한 인상이라 가장 가까운 accord는 fresh입니다.,0.976,
향 맡으면 머리가 안 아픈 것(두통이 없기를 바람),,"두통을 피하고 싶다는 건강/바람 표현이라 향의 노트(예: 향긋함, 과일, 우디 등)를 특정할 수 없습니다.",1.621,
neutral (중성적인),,"‘neutral (중성적인)’은 향의 구체적인 노트(예: 과일, 꽃, 우디 등)와 무관한 성격 표현이라 accord로 매칭할 수 없습니다.",1.189,
not light (가볍지 않은),,"표현 'not light (가볍지 않은)'은 향의 특정 소재/분위기(예: woody, sweet, smoky 등)가 아니라 강도/평가를 말해 accord 목록의 구체 항목에 대응하기 어렵습니다.",1.757,
recommend perfume,,"'recommend perfume'는 향의 구체적 노트(예: 장미, 바닐라 등) 없이 단순 추천 요청이라 향 표현에 해당하지 않습니다.",0.921,
fresh/cool scent,fresh|aquatic|citrus,"표현이 'fresh/cool scent'로 시원한 느낌을 강조해 'fresh'가 가장 가깝고, 차가운 청량감의 일반적 뉘앙스로 'aquatic'과 'citrus'도 보조적으로 추정됩니다.",1.515,
"prefer sea-salt style (likes Jo Malone Sea Salt), but wants something slightly different",salty|fresh|aquatic,"‘sea-salt style’에 가장 가까운 핵심 뉘앙스가 salty이고, 바다 소금 계열은 보통 fresh와 aquatic도 함께 연상되기 때문입니다.",1.187,
also has Aqua di Parma Mirto,aquatic|fresh,‘Aqua’ 및 ‘Mirto(머틀 계열)’가 보통 물기 있는 상쾌함의 무드를 나타내서 aquatic와 fresh에 가장 가깝습니다.,1.338,
고급스럽게,,"“고급스럽게”는 향의 구체적 노트(예: 과일, 우디, 바닐라 등)나 향 성격을 직접 지칭하지 않아 accord로 매칭할 수 없습니다.",1.447,
오래 지속되는 향,,"표현이 '오래 지속되는 향'으로 지속력(가격/성별/용량 등과 같은 비향 특성)을 말하며, accord 목록의 향 노트(예: floral, vanilla 등)와 직접 대응되지 않아 비었습니다.",1.008,
향이 강하지 않음,fresh,“향이 강하지 않음”은 강렬한 보다는 가벼운 느낌에 해당할 수 있어 가장 무난하게 fresh 계열로 분류했습니다.,1.077,
은은하게 시원한 자연의 향,fresh|woody|foresty,"“은은하게 시원한 자연”의 뉘앙스가 시원한 자연향( fresh )과 숲/자연의 느낌( foresty, woody )에 가장 가깝습니다.",1.194,
은은하게 좋은 향,,“은은하게 좋은 향”은 특정 향의 재료/노트를 지칭하지 않아 accord 목록 중 가장 가까운 것을 고르기 어렵습니다.,1.073,
꽃 냄새,floral|white floral,"표현이 ‘꽃 냄새’로 일반적인 플로럴 계열에 해당하며, 추가로 특정 꽃 뉘앙스가 없어도 가장 가까운 것은 플로럴(White floral은 차선)입니다.",1.376,
