expression,representative_expression,expression_type,query_count,query_ids,example_query_text,source_relation,source_term,source_families,source_sections,evidence_note
강하게 나는,강하게 나는,PERFORMANCE,1,UQ0048,비누향이나 섬유유연제 향이 강하게 나는 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
담배냄새랑 섞여도 이상하지 않은,담배냄새랑 섞여도 이상하지 않은,PERFORMANCE,1,UQ0040,담배 피우는데 담배냄새랑 섞여도 이상하지 않은 향수 있을까,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
땀 냄새랑 섞여도 안 이상한 거,땀 냄새랑 섞여도 안 이상한 거,PERFORMANCE,1,UQ0069,땀 냄새랑 섞여도 안 이상한 거. 바디스프레이처럼 쓸 수 있는 거 필요함,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
땀냄새랑 섞여서 이상해지지 않는,땀냄새랑 섞여서 이상해지지 않는,PERFORMANCE,1,UQ0042,여름에 땀 많이 나는데 땀냄새랑 섞여서 이상해지지 않는거,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
땀이랑 안 겹치고,땀이랑 안 겹치고,PERFORMANCE,1,UQ0198,헬스장용인데 땀이랑 안 겹치고 저렴한 향수를 추천받고 싶어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
무난하게 사용,무난한,PERFORMANCE,1,UQ0029,처음 향수를 사는 사람도 무난하게 사용할 수 있는 향수를 추천해줘.,RELATED,무난한,,원천 문서 line 1668|원천 문서 line 1683|원천 문서 table line 1612,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
민폐 아닌 강도의,민폐 아닌 강도의,PERFORMANCE,1,UQ0197,강의실에서 뿌려도 민폐 아닌 강도의 가벼운 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
부담 없는,부담없는,PERFORMANCE,1,UQ0028,회사에서 매일 사용해도 부담 없는 깔끔한 향수 추천해줘.,MATCHED,부담없는,,원천 문서 line 1683,원천 문서 명시 표현/표기 변형과 정규화 일치
부담 없이,부담 없이,PERFORMANCE,1,UQ0088,출근할 때 부담 없이 뿌릴 수 있는 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
부담없이 사용,부담없는,PERFORMANCE,1,UQ0182,겨울용 무거운 향인데 사무실에서도 부담없이 사용할 수 있는 향수 알려줘,RELATED,부담없는,,원천 문서 line 1683,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
슥 지나갔을 때,슥 지나갔을 때,PERFORMANCE,1,UQ0082,뿌리고 슥 지나갔을 때 향이 너무 좋아서 사람들이 다 돌아볼 것 같은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
오래가는,오래가는,PERFORMANCE,1,UQ0117,시트러스 향이 오래가는 향수 추천해줘,MATCHED,오래가는,,원천 문서 line 1687,원천 문서 명시 표현/표기 변형과 정규화 일치
은은하게,은은하게 스모키한,PERFORMANCE,1,UQ0065,은은하게 잔향 좋은 거. 향은 딱히 선호 없음 모름 잘,RELATED,은은하게 스모키한,Soft Amber,향조가 인센스 쪽으로 갈 때,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
잔향 오래가는,오래가는,PERFORMANCE,1,UQ0180,플로럴인데 파우더리하지 않고 잔향 오래가는 거 추천해줘,RELATED,오래가는,,원천 문서 line 1687,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
잔향 좋은 거,잔향 오래감,PERFORMANCE,1,UQ0065,은은하게 잔향 좋은 거. 향은 딱히 선호 없음 모름 잘,RELATED,"잔향 오래감|잔향이 좋은|향수명"" 잔향",,원천 문서 line 1485|원천 문서 line 1687|원천 문서 table line 1625,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
잔향이 좋은,잔향이 좋은,PERFORMANCE,1,UQ0107,잔향이 좋은 향수 추천해줘,MATCHED,잔향이 좋은,,원천 문서 line 1687,원천 문서 명시 표현/표기 변형과 정규화 일치
지나갈 때 은은,은은한,PERFORMANCE,1,UQ0027,지나갈 때 은은하게 좋은 냄새가 나는 정도의 향수를 찾고 있어.,RELATED,은은한,Floral|Soft Floral,원천 문서 line 1668|원천 문서 line 1683|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
지속력은 길었으면,⑧ 지속력,PERFORMANCE,1,UQ0147,지속력은 길었으면 좋겠는데 향이 멀리까지 퍼지는 건 싫어. 그런 향수 있어?,RELATED,⑧ 지속력,,원천 문서 line 1625,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
체향에 잘 맞는,체향에 잘 맞는,PERFORMANCE,1,UQ0021,"나는 이솝 테싯 퍼퓸을 자주 쓰는데, 이게 내 체향에 잘 맞는 거 같더라고. 비슷한데 다른 향 없나?",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
향이 오래가는,오래가는,PERFORMANCE,1,UQ0138,향이 오래가는 남자 향수 골라줘봐라,RELATED,오래가는,,원천 문서 line 1687,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
강하게,강하게,AVOID,1,UQ0030,사람 많은 곳에서도 너무 강하게 느껴지지 않는 은은한 향수를 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
강하면,강하면,AVOID,1,UQ0032,향수 냄새가 강하면 머리가 아파서 최대한 부드럽고 편안한 향을 찾고 있어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
남자 스킨 냄새,스킨냄새,AVOID,1,UQ0149,"시원한 향은 좋은데, 남자 스킨 냄새는 진짜 별로야. 안 그런 거 있어?",RELATED,스킨냄새,,원천 문서 line 1427,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
남자 향수 냄새,남자 향수 냄새,AVOID,1,UQ0170,청량한데 남자 향수 냄새는 안났으면 좋겠음. 뭔말인지 알지?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
너무 날카롭지 않았으면,너무 날카롭지 않았으면,AVOID,1,UQ0160,차가운 금속같은 이미지인데 향 자체는 너무 날카롭지 않았으면 좋겠어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
너무 남자 향수도 아니었으면,너무 남자 향수도 아니었으면,AVOID,1,UQ0009,"중성적인 향수 뿌리고 싶어. 너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다.",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
너무 냄새가 강하지는 않았으면,너무 냄새가 강하지는 않았으면,AVOID,1,UQ0163,"나 꿀 같은 향은 좋아하는데, 너무 냄새가 강하지는 않았으면 좋겠어. 그런 향수 있을까?",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
너무 느끼,느끼한,AVOID,1,UQ0010,"케이크 같으면서도, 너무 느끼하지 않고, 딱 맡았을 때 공주처럼 느껴지는 향수 그런 거 없음?",RELATED,느끼한,Amber|Floral|Floral Amber|Soft Amber|Woody Amber,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
너무 단,너무 단,AVOID,1,UQ0005,난 바닐라 향기가 좋은데. 너무 단 건 싫어.,MATCHED,너무 단,Amber|Fruity,호불호·부정 표현,원천 문서 명시 표현/표기 변형과 정규화 일치
너무 무겁거나,너무 무거운,AVOID,1,UQ0196,우디 향 좋아하는데 너무 무겁거나 아저씨 같은 느낌은 싫어.,RELATED,너무 무거운,Woody Amber,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
너무 여성스럽지 않되,너무 여성스럽지 않되,AVOID,1,UQ0009,"중성적인 향수 뿌리고 싶어. 너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다.",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
너무 음식같은 느낌,너무 음식같은 느낌,AVOID,1,UQ0054,홍차향 같은 향수도 있나? 근데 너무 음식같은 느낌 안 났으면 좋곘음,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
너무 진한 향,라벤더가 진한,AVOID,1,UQ0056,아로마 계열이면 다 좋은데 너무 진한 향 아니고 은은한 게 좋아,RELATED,라벤더가 진한,Aromatic Fougère,클래식 푸제르 쪽,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
느끼,느끼한,AVOID,1,UQ0116,달달하지만 너무 느끼하지 않은 향수 추천해줘,RELATED,느끼한,Amber|Floral|Floral Amber|Soft Amber|Woody Amber,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
달달,달달한,AVOID,1,UQ0194,포근한 니트 같은 느낌인데 달달하지 않은 향수 있을까?,RELATED,달달한,Amber|Fruity|Soft Amber,바닐라/통카 쪽으로 갈 때|베리 계열|원천 문서 line 1316|원천 문서 line 1320|원천 문서 line 1326|원천 문서 line 1330|원천 문서 line 1453|원천 문서 line 1457|원천 문서 line 1460|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
달달한 거,달달한,AVOID,1,UQ0169,"딸기 향기가 났으면 좋겠어. 달달한 거 말고, 진짜 싱싱한 딸기 향기 나는 향수 추천해줘.",RELATED,달달한,Amber|Fruity|Soft Amber,바닐라/통카 쪽으로 갈 때|베리 계열|원천 문서 line 1316|원천 문서 line 1320|원천 문서 line 1326|원천 문서 line 1330|원천 문서 line 1453|원천 문서 line 1457|원천 문서 line 1460|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
달콤한,달콤한,AVOID,1,UQ0004,"여성스러운 향을 사고 싶은데, 너무 달콤한 건 싫어. 그런 향기가 있을까?",MATCHED,달콤한,Amber|Floral Amber|Fruity,당도 표현|원천 문서 line 1325|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
달콤한 향기,달콤한,AVOID,1,UQ0052,향수 사보려고 하는데 난 달콤한 향기는 별로 안 좋아하거든 좀 화한거 사고싶어,RELATED,달콤한,Amber|Floral Amber|Fruity,당도 표현|원천 문서 line 1325|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
답답하지 않은 향,답답한,AVOID,1,UQ0176,실내에서만 있는 직업인데 답답하지 않은 향 추천해줘.,RELATED,답답한,Amber|Floral Amber|Soft Amber|Soft Floral,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
머리 너무 안 아팠으면,머리 너무 안 아팠으면,AVOID,1,UQ0013,코코넛 향기 나는데 머리 너무 안 아팠으면 좋겠음,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
머스크,머스크,AVOID,1,UQ0167,머스크말고 화이트 머스크 향이 나는 향수로 추천해줘.,MATCHED,머스크,Soft Floral,원천 문서 table line 1610|핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
무겁거나,무겁게 단,AVOID,1,UQ0150,우디 향 좋아하는데 무겁거나 중후한 건 싫어. 추천 좀.,RELATED,무겁게 단,,원천 문서 table line 1612,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
바닐라,바닐라,AVOID,1,UQ0148,"향추 추천해줘. 달콤한 향은 좋은데, 바닐라는 싫어.",MATCHED,바닐라,Amber,핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
바질 냄새,바질 냄새,AVOID,1,UQ0168,바질 냄새 싫어. 바질 냄새 안나는 그린 계열 향수 추천 해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
복숭아,복숭아,AVOID,1,UQ0154,"과일 향수 추천하는데 복숭아, 체리는 빼고 해줘. 그거 싫어.",MATCHED,복숭아,Fruity,핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
부담,부담,AVOID,1,UQ0025,소개팅할 때 부담스럽지 않으면서 좋은 인상을 줄 수 있는 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
세제 냄새,레몬 세제,AVOID,1,UQ0162,호텔 침구 같은 깨끗함! 근데 세제 냄새처럼 인위적이면 싫어.,RELATED,레몬 세제|세제 같은,Soft Floral,원천 문서 table line 1549|호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
소금 냄새가 너무 강하진 않았으면,소금 냄새가 너무 강하진 않았으면,AVOID,1,UQ0158,새벽 바닷가 같은 느낌인데 소금 냄새가 너무 강하진 않았으면 좋겠어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
시트러스,시트러스,AVOID,1,UQ0161,햇빛 받은 흰 셔츠 같은 느낌하고 싶은데 시트러스는 싫어.,MATCHED,시트러스,Aromatic Fougère|Citrus,0. 분류 기준 / Family 명칭|원천 문서 table line 1610|핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
아저씨 같은 느낌,아저씨 스킨로션,AVOID,1,UQ0196,우디 향 좋아하는데 너무 무겁거나 아저씨 같은 느낌은 싫어.,RELATED,아저씨 스킨 같은|아저씨 스킨로션,Aromatic Fougère,원천 문서 line 1377|한국 후기식 생활 비유,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
안 어지러울만한 거,안 어지러울만한 거,AVOID,1,UQ0142,밀폐된 공간에서 써도 안 어지러울만한 거 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
어려 보이지,어려 보이지,AVOID,1,UQ0033,내가 20대 후반인데 너무 어려 보이지 않으면서 세련된 향수를 찾고 있어.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
올드,올드한,AVOID,1,UQ0185,산타마리아노벨라 시향했는데 너무 올드하더라. 젊은 느낌으로 추천해줄래?,RELATED,올드한,Aromatic Fougère|Mossy Woods,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
우디,우디,AVOID,1,UQ0192,지금 우디 향수만 여러 개 가지고 있어서 완전히 다른 계열 하나 사고 싶어.,MATCHED,우디,Woods,0. 분류 기준 / Family 명칭|원천 문서 table line 1610,원천 문서 명시 표현/표기 변형과 정규화 일치
인센스,인센스,AVOID,1,UQ0153,인센스나 절 냄새 나는 향수 개극혐이니까 그거 말고 다양한 종류로 추천 좀.,MATCHED,인센스,,원천 문서 table line 1547,원천 문서 명시 표현/표기 변형과 정규화 일치
인위적인,인위적인,AVOID,1,UQ0164,장미 꽃 향기는 좋은데 인위적인 향기는 아니었으면 좋겠음. 추천 좀,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
입자가 너무 작은 건,입자가 너무 작은 건,AVOID,1,UQ0020,향수 분사 적당히 되는 거 없나? 입자가 너무 작은 건 싫은데.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
조말론 블랙베리,조말론 블랙베리,AVOID,1,UQ0022,나 조말론 블랙베리는 별로더라... 이런 나한테 추천해줄 만한 향수 없나,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
중후한,중후한,AVOID,1,UQ0150,우디 향 좋아하는데 무겁거나 중후한 건 싫어. 추천 좀.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
체리,체리,AVOID,1,UQ0154,"과일 향수 추천하는데 복숭아, 체리는 빼고 해줘. 그거 싫어.",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
초코 향,초코 향,AVOID,1,UQ0166,카라멜 향기 달달하게 났으면 좋겠어. 초코 향이면 안돼!!,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
파우더리,파우더리한,AVOID,1,UQ0180,플로럴인데 파우더리하지 않고 잔향 오래가는 거 추천해줘,RELATED,파우더리한,Floral Amber|Soft Amber|Soft Floral,바닐라/통카 쪽으로 갈 때|원천 문서 line 1107|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
패출리,패출리,AVOID,1,UQ0152,패출리 들어간 향은 싫어. 그거 뺀 걸로 추천 좀.,MATCHED,패출리,Mossy Woods|Woods|Woody Amber,핵심 이미지,원천 문서 명시 표현/표기 변형과 정규화 일치
향기 너무 많이 나면,향기 너무 많이 나면,AVOID,1,UQ0016,여름에 뿌릴 향수 가지고 싶은데 향기 너무 많이 나면 코 아파서... 안 그런거 추천 가능한가?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
향수 뿌린 티 안나는,향수 뿌린 티 안나는,AVOID,1,UQ0034,너무 향수 뿌린 티 안나는 걸로 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
향이 너무 세,향이 너무 세,AVOID,1,UQ0092,향이 너무 세지 않은 향수 추천해줘,NOT_FOUND,,,,동형 표현의 문맥 오탐을 제외한 뒤 원천 근거를 찾지 못함
향이 멀리까지 퍼지는 건 싫어,향이 멀리까지 퍼지는 건 싫어,AVOID,1,UQ0147,지속력은 길었으면 좋겠는데 향이 멀리까지 퍼지는 건 싫어. 그런 향수 있어?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
화장품 냄새,화장품 냄새 같은,AVOID,1,UQ0151,"꽃향은 좋은데, 화장품 냄새 같은 꽃향은 싫음.",RELATED,화장품 냄새 같은,Soft Floral,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
흙냄새보다는 젖은 나무 냄새,젖은 잎 같은,AVOID,1,UQ0159,비 오는 숲 같은데 흙냄새보다는 젖은 나무 냄새가 강했으면 좋겠어.,RELATED,젖은 잎 같은|젖은 흙 같은,Green|Mossy Woods,생풀/잎 쪽|습도 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
단종된 향수랑 비슷한 걸,단종된 향수랑 비슷한 걸,REFERENCE,1,UQ0190,단종된 향수랑 비슷한 걸 찾고 싶어. 파우더리하고 비누향이었어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
딥티크 탐다오랑 오르페옹 중에 출근용,탐다오,REFERENCE,1,UQ0155,딥티크 탐다오랑 오르페옹 중에 출근용으로 뭐가 더 나아?,RELATED,탐다오,,원천 문서 line 1589,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
리한나가 쓰는 향수,리한나가 쓰는 향수,REFERENCE,1,UQ0146,가격 상관 없음. 리한나가 쓰는 향수 갖고싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
메종 마르지엘라,메종 마르지엘라,REFERENCE,1,UQ0051,향수 입문용으로 조말론이나 메종 마르지엘라는 어때?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
블루 드 샤넬보다 덜 흔한 느낌,흔한 남자 향수,REFERENCE,1,UQ0156,블루 드 샤넬보다 덜 흔한 느낌으로 추천해줘.,RELATED,흔한 남자 향수,Aromatic Fougère,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
산타마리아노벨라 시향했는데 너무 올드,올드한,REFERENCE,1,UQ0185,산타마리아노벨라 시향했는데 너무 올드하더라. 젊은 느낌으로 추천해줄래?,RELATED,올드한,Aromatic Fougère|Mossy Woods,호불호·부정 표현,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
샤넬 no5랑 믹스해서 사용하기 좋은,샤넬 no5랑 믹스해서 사용하기 좋은,REFERENCE,1,UQ0100,샤넬 no5랑 믹스해서 사용하기 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
양키캔들 핑크 샌즈,양키캔들 핑크 샌즈,REFERENCE,1,UQ0098,양키캔들 핑크 샌즈 쓰고 있는데 이거 향 너무 좋아서 이거랑 비슷한 향수 갖고싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
이솝 테싯 퍼퓸,이솝 테싯 퍼퓸,REFERENCE,1,UQ0021,"나는 이솝 테싯 퍼퓸을 자주 쓰는데, 이게 내 체향에 잘 맞는 거 같더라고. 비슷한데 다른 향 없나?",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
이솝 휠이랑 레이어링,이솝 휠이랑 레이어링,REFERENCE,1,UQ0179,이솝 휠이랑 레이어링하면 좋은 향수 가르쳐줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
조말론,조말론,REFERENCE,1,UQ0051,향수 입문용으로 조말론이나 메종 마르지엘라는 어때?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
조말론인데 조금 더 성숙한 느낌으로 바꾸고 싶어.,성숙한,REFERENCE,1,UQ0157,지금 쓰는 향수보가 조말론인데 조금 더 성숙한 느낌으로 바꾸고 싶어.,RELATED,성숙한,Amber|Floral|Floral Amber|Mossy Woods|Woody Amber,시프레 쪽 표현|이미지·분위기 표현|핵심 형용사|확장 형용사·감각어,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
크리드 실버마운틴워터,크리드 실버마운틴워터,REFERENCE,1,UQ0188,크리드 실버마운틴워터 사고 싶은데 너무 비싸. 비슷한데 더 저렴한거 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
탬버린즈 계열,탬버린즈 계열,REFERENCE,1,UQ0200,탬버린즈 계열 좋아하는데 다른 국내 브랜드 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
템버린즈 볼드 시트러스랑 비슷한 향수,시트러스,REFERENCE,1,UQ0077,지금 단종된 템버린즈 볼드 시트러스랑 비슷한 향수 추천해줘,RELATED,시트러스,Aromatic Fougère|Citrus,0. 분류 기준 / Family 명칭|원천 문서 table line 1610|핵심 이미지,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
10만 원대,10만 원대,OTHER,1,UQ0119,10만 원대에서 살 만한 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
10만원 이내,10만원 이내,OTHER,1,UQ0070,10만원 이내에서 살 수 있는 저렴한 시원한 향기 나는 향수,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
20만 원 이하,20만 원 이하,OTHER,1,UQ0120,20만 원 이하로 가성비 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
20만원 이내,20만원 이내,OTHER,1,UQ0071,무조건 20만원 이내에서 조합 괜찮은 향수 2개. 중성적인 느낌으로!,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
5개,5개,OTHER,1,UQ0141,"남친한테 향수 선물할 건데, 제일 유명한 남자 향수로 5개 정도 추천해줘",NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
5만원 이내,5만원 이내,OTHER,1,UQ0144,한 5만원 이내로 살 수 있는데 백화점 향수 느낌 나는 거,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
SNS에서 인기 많은,SNS에서 인기 많은,OTHER,1,UQ0135,SNS에서 인기 많은 남자 향수는 어떤게 있니,NOT_FOUND,,,,동형 표현의 문맥 오탐을 제외한 뒤 원천 근거를 찾지 못함
가격 상관 없음,가격 상관 없음,OTHER,1,UQ0146,가격 상관 없음. 리한나가 쓰는 향수 갖고싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
가격 적당,가격 적당,OTHER,1,UQ0003,향수 가격 적당한 거 추천해줘. 그냥 구색 갖추려고 사는 거야.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
가성비,가성비,OTHER,1,UQ0120,20만 원 이하로 가성비 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
가장 핫,가장 핫,OTHER,1,UQ0124,요즘 올리브영이나 백화점에서 가장 핫하고 인기 많은 여자 향수 알려줘.,NOT_FOUND,,,,동형 표현의 문맥 오탐을 제외한 뒤 원천 근거를 찾지 못함
결혼하는 사람,결혼하는 사람,OTHER,1,UQ0122,결혼하는 사람한테 선물해줄 향수는 뭐가 있을까?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
구색 갖추려고,구색 갖추려고,OTHER,1,UQ0003,향수 가격 적당한 거 추천해줘. 그냥 구색 갖추려고 사는 거야.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
그냥 골라줘,그냥 골라줘,OTHER,1,UQ0035,나한테 무슨 향이 어울리는지 모르겠음 그냥 골라줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
나한테 맞는,나한테 맞는,OTHER,1,UQ0049,나한테 맞는 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
남들이 잘 안쓰는 독특한,남들이 잘 안쓰는 독특한,OTHER,1,UQ0136,겨울용 남자 향수가 필요한데 남들이 잘 안쓰는 독특한걸 찾고 싶어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
누구나 맡았을 때 '좋다'고,누구나 맡았을 때 '좋다'고,OTHER,1,UQ0125,호불호 안 갈리고 누구나 맡았을 때 '좋다'고 느낄 만한 향수 추천좀,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
다들 좋다고,다들 좋다고,OTHER,1,UQ0126,향수 초보인데 실패 확률 제일 적고 남들이 다들 좋다고 하는 남자 향수는 뭐가 있어,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
